Experiment	condition	Bh	Bt	Ri	Trehalose	Glucose	Pyruvate	Succinate	Lactate	Formate	Acetate	Butyrate
A6V11_12	E1_c12	0.415067122	6.320683296	4.05767179	0.197053533	0.061724895	0	1.960586326	0.279535871	1.522301844	4.791203957	15.02277312
A6V11_13	E1_p1	0.80586535	11.85589103	7.493950817	0.274819198	0.062513976	0	2.270605024	0.226096514	1.411515912	4.649992993	15.65868541
A6V11_14	E1_p2	0.342376722	11.55692625	6.684905494	0.32363741	0.063404112	0	1.980084926	0.232705976	1.220200882	3.626393592	14.03620338
A6V11_15	E1_p3	0.281965556	8.04066249	4.956788615	0.36212566	0.059299799	0	1.595785729	0.22658781	1.118784142	3.404763295	13.28386891
A6V11_16	E1_p4	0.252944637	3.252145329	3.420775087	0.425276299	0.200882766	0.735538269	1.42268196	0.292459306	0.886946357	3.94904719	12.09227097
A6V11_17	E1_p5	0.101838954	2.928888308	3.413302264	0.435713132	1.018446264	2.024389867	1.525669781	1.30513944	0.794192709	4.113879414	9.069628579
A6V11_18	E1_p6	0.112001929	2.701282895	2.217411934	0.447978276	2.321044894	3.456349313	1.610415923	1.832300373	0.808689099	4.013025919	6.846115168
A6V11_19	E1_p7	0.049816601	2.344576026	1.596794382	0.504465541	3.773167971	5.10843818	1.86504421	2.434507149	0.96180497	4.416627881	5.592287772
A6V11_20	E1_p8	0.077004098	2.632513437	1.573165206	0.483410813	3.188795016	4.336153825	2.061732434	2.818739629	0.874744804	4.610613703	5.424368298
A6V11_21	E1_p9	0.075817948	2.149730439	1.465327653	0.467348841	2.840894917	2.760689462	2.209058815	3.93389824	0.903033003	5.232919552	5.408206666
A6V11_22	E1_p10	0.021974995	0.792874735	0.300888398	0.52210381	6.866607924	6.807028427	1.416787692	3.244331209	1.183585222	4.319960711	2.254303149
A6V11_23	E1_p11	0.009625074	0.713440127	0.197231759	0.494395064	6.902112844	5.817810588	1.30622772	3.80021263	1.226580976	4.494365708	1.603331315
A6V11_24	E1_p12	0.006686561	5.41571361	0.062407907	0.502977129	4.026871318	3.432959704	4.14627541	4.49906032	1.891809	7.620441379	1.243785747
