patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1102	10600	5974.202	6323	12598	11601	17418.062	1293	1071	1284	1066	1032	1114	1193	935	1134
fig|536231.75.peg.1103	2798	1809	1728	1661	1633	3365	217	122	204	69	122	148	225	220	52
fig|536231.75.peg.1104	23958.674	12796.469	10679	12546	12310	21549	953	818	838	572	590	803	697	627	350
fig|536231.75.peg.1105	4692	1979	2840	3226	3943	7119	576	362	402	519	541	340	756	703	546
fig|536231.75.peg.1106	3	4	0	0	30	19	1	0	0	5	0	0	2	0	0
fig|536231.75.peg.1107	3	2	4	0	0	0	0	0	0	0	0	0	1	0	0
fig|536231.75.peg.1108	1091.652	1237.431	626.108	488.411	417.077	679.21	178.49	136.653	131.923	77.875	91.428	127.509	165.347	36	97.579
fig|536231.75.peg.1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.1110	669	646.693	327	1446.589	1127.252	2052.622	67	110	92.911	310.821	68	203.767	114.839	61	133
fig|536231.75.peg.1111	333	325.307	140	178.411	106.748	288.821	17	4	16.089	41.179	9	19.233	38.161	0	21
fig|536231.75.peg.1112	5294	4481	2857	5453	5075	8975	603	434	459	844	606	405	1335	602	666
fig|536231.75.peg.1113	1842	1386	1047	1795	1675	2412	155	103	182	163	237	136	91	81	93
fig|536231.75.peg.1114	4305	2679	2314	4851	4603	6759	383	429	427	428	587	463	373	478	338
fig|536231.75.peg.1115	1351	895	704	1073	1310	2009	109	70	134	86	121	81	56	148	98
fig|536231.75.peg.1116	8643	7384	9192	8139	8520	13214	835	628	705	743	673	455	1725	843	774
fig|536231.75.peg.1117	797	623	620	238	255	394	114	38	93	51	32	38	162	54	75
fig|536231.75.peg.1118	1021615.302	433099.846	427008.267	341277.911	371125.707	553854.979	67053	42654	47974	36326	31224	26514	67954	26470	25957
fig|536231.75.peg.1119	528276.979	214995.218	276506.045	272080	226190	303678.152	32512.966	27127	30456	26788	21062	18612	38469	16709	17714
fig|536231.75.peg.1120	424846.21	166141.925	209417.016	137472.392	127594.047	211758.976	23017.43	16184	19073.4	11263	8938.415	7714	13996.785	5433	5434
fig|536231.75.peg.1121	3401.118	2239.852	2351.64	556.701	541.953	986.242	148.555	123.637	172.6	117	154.585	41	744.215	46	37
fig|536231.75.peg.1122	16039.371	11331.466	9755	4289	5059	7356.409	1250	744.363	1187	906	789	566	7760	607	996
fig|536231.75.peg.1123	10060.374	7364	7349	4171	4310	6626	686	495	717	731	527	520	4837	750	709
fig|536231.75.peg.1124	902	753	555	699	759	870	84	51	115	78	105	26	389	65	99
fig|536231.75.peg.1125	1892	1504	1340	1117	1404	1407	323	266	303	180	186	225	851	203	187
fig|536231.75.peg.1126	2176	1966	1327	787	956	1789	221	142	167	140	32	30	682	99	177
fig|536231.75.peg.1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.1128	163	324	129	68	177	136	45	21	18	8	33	19	25	27	8
fig|536231.75.peg.1129	19015	21378	10811	18959	16898	27952	3872	2718	2559	4882	2939	2790	7332	3002	3739
fig|536231.75.peg.1130	193	138	135	407	397	732	24	26	26	12	38	19	22	45	43
fig|536231.75.peg.1131	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.1132	829	945	218	337	476	723	82	48	50	19	53	8	52	63	53
fig|536231.75.peg.1133	3455	4107	2822	1935	2165	3138	386	331	326	287	250	232	686	365	260
fig|536231.75.peg.1134	3378	2693	2576	2761	2906	4302	306	162	274	464	389	375	383	371	161
fig|536231.75.peg.1135	1755	1217	814	1051	1228	2048	144	71	116	154	101	105	100	141	43
fig|536231.75.peg.1136	5716.146	3274.011	3456	5788	4985	7652	457	398	507	468	448	497	302	276	307
fig|536231.75.peg.1137	15877.058	10945	10747.008	12911	12786	20317	1992	1858	1798	1790	1383	1144	1845	1308	1261
fig|536231.75.peg.1138	951	2758	359	5	41	66	102	93	95	16	0	8	0	5	0
fig|536231.75.peg.1139	7713	13778	4045	4160	4748	8769	632	618	732	358	599	377	149	348	98
fig|536231.75.peg.1140	11479.32	19018.458	7719	4123	5477	10392	482	366	480	673	732	483	964	780	366
fig|536231.75.peg.1141	5319	6329	4673	5164	5059	8177	558	412	477	422	323	292	677	237	365
fig|536231.75.peg.1142	4695	4672	4824	2938	2833	4572	520	420	406	433	349	242	523	285	377
fig|536231.75.peg.1143	232	140	378	567	637	727	10	12	11	16	37	0	21	53	22
fig|536231.75.peg.1144	394	468	142	450	502	620	52	28	39	80	4	51	44	93	8
fig|536231.75.peg.1145	9748	6281	5793	9768	10700	17386	1189	682	869	1365	1137	1143	1025	1239	995
