patricID	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.510	0	0	0	0	19	0
fig|536231.75.peg.511	0	0	0	0	0	0
fig|536231.75.peg.512	0	0	0	0	0	0
fig|536231.75.peg.513	0	0	0	0	6	0
fig|536231.75.peg.514	3	0	0	0	11	5
fig|536231.75.peg.515	0	0	0	0	0	0
fig|536231.75.peg.516	3	2	7	4	44	108
fig|536231.75.peg.517	22	22	21	89.57	0	0
fig|536231.75.peg.518	817	623	548	3282.419	566	338
fig|536231.75.peg.519	132	104	137	294.011	157	101
fig|536231.75.peg.520	695.57	503	755	3297.777	542.769	582
fig|536231.75.peg.521	16	6	10	33	0	0
